subject,professor,lecture_type,time,room
(전북권역)서양고대철학,김요한,원격강좌(콘텐츠),:  ,"월 10-A,월 10-B,월 11-A,월 11-B,월 12-A,월 12-B"
(전북권역)서양고대철학,김요한,원격강좌(콘텐츠),:  ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B"
(전북권역)서양음악사산책,외부교원1,원격강좌(콘텐츠),:  ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
(전북권역)인간발달과교육,외부교원1,원격강좌(콘텐츠),:  ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
(전북권역)중국고대철학,황갑연,원격강좌(콘텐츠),:  ,"목 10-A,목 10-B,목 11-A,목 11-B,목 12-A,목 12-B"
(전북권역)중국고대철학,황갑연,원격강좌(콘텐츠),:  ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B"
(전북권역)취업실무영어,외부교원3,원격강좌(콘텐츠),:  ,"화 11-A,화 11-B,화 12-A,화 12-B"
(전북권역)태권도기초편,외부교원3,원격강좌(콘텐츠),:  ,"화 9-A,화 9-B,화 10-A,화 10-B"
(전북권역)한옥개론,남해경,원격강좌(콘텐츠),:  ,"화 10-A,화 10-B,화 11-A,화 11-B,화 12-A,화 12-B"
(전북권역)헤어세팅과업스타일,외부교원3,원격강좌(콘텐츠),:  ,"월 12-A,월 12-B,월 13-A,월 13-B"
19세기미소설,김혜진,플립러닝,전주:인문대학1호관 402 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
19세기영미시,임보라,일반,전주:인문대학1호관 404 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
19세기영소설(19th Century English Novel),매튜허조그,일반,전주:인문대학1호관 402 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
3D구조해석및실습,곽기영,일반,전주:공과대학 8호관 402 ,"수 4-A,수 4-B,수 5-A,수 5-B,금 3-A,금 3-B,금 4-A,금 4-B"
3D조형표현기법 1,김우현,일반,전주:미술관 1020 ,"목 6-A,목 6-B,목 7-A,목 7-B,목 8-A,목 8-B"
3D한복디자인,김민지,일반,전주:생활과학대학 308 ,"월 1-A,월 1-B,월 2-A,월 2-B,월 3-A,월 3-B,월 4-A,월 4-B"
