subject,professor,lecture_type,time,room
드로잉 1,김연경,일반,전주:예술대학 2호관 2110 전주:예술대학 본관 1140 ,"월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B"
디스플레이공학(Display Engineering),엠디 아부 하니프,일반,전주:인문대학2호관 501 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
디자인개발론,최승호,일반,전주:예술대학 본관 5090 ,"화 5-A,화 5-B,화 6-A,화 6-B,화 7-A,화 7-B"
디자인교육론,김용구,일반,전주:예술대학 본관 3040 ,"목 5-A,목 5-B,목 6-A,목 6-B,목 7-A,목 7-B"
디자인언어,조동민,일반,전주:예술대학 본관 5020 ,"수 10-A,수 10-B,수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
디자인재료학,김용구,일반,전주:예술대학 본관 5080 ,"목 10-A,목 10-B,목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
디자인제조기술세미나 4,최승호,일반,전주:예술대학 본관 5090 ,"화 10-A,화 10-B,화 11-A,화 11-B,화 12-A,화 12-B"
디자인커뮤니케이션,우지연,일반,전주:농업생명과학대학3호관 402 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
디자인포트폴리오,장미선,일반,전주:생활과학대학 508 ,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B,화 10-A,화 10-B"
디지털건축 1,신병욱,일반,고창:공학관 317 ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B,토 4-A,토 4-B"
디지털공간디자인 1,유문상,일반,전주:생활과학대학 507 ,"금 6-A,금 6-B,금 7-A,금 7-B,금 8-A,금 8-B,금 9-A,금 9-B,금 10-A,금 10-B"
디지털공학,허근,일반,전주:학군단 301 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
디지털공학,김석진,일반,전주:공과대학 4호관 419 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
디지털공학,임규만,일반,새만금:산학융합지구캠퍼스동 309 ,"토 6-A,토 6-B,토 7-A,토 7-B,토 8-A,토 8-B"
디지털공학이론및실험,김태형,일반,전주:공과대학 8호관 310 ,"월 3-A,월 3-B,월 4-A,월 4-B,월 5-A,월 5-B,수 3-A,수 3-B"
디지털교육,김동진,일반,전주:진수당 404 ,"월 12-A,월 12-B"
디지털그래픽활용,강윤희,일반,전주:예술대학 본관 5020 ,"목 6-A,목 6-B,목 7-A,목 7-B,목 8-A,목 8-B,목 9-A,목 9-B"
디지털논리공학,정진균,일반,전주:공과대학 7호관 228 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
디지털논리공학,조성익,일반,전주:공과대학 7호관 227 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
디지털논리공학,김희선,일반,전주:공과대학 7호관 112 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
*디지털논리설계,이종열,일반,전주:공과대학 7호관 227 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
디지털도서관론,김선태,일반,전주:인문대학1호관 311 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
디지털시대와사회복지세미나,김윤영,일반,전주:인문사회관 204 ,"수 2-A,수 2-B,수 3-A,수 3-B,수 4-A,수 4-B"
디지털시스템설계,정진균,일반,전주:공과대학 7호관 114 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
디지털시스템설계(VHDL)(JST),RIS교원1,원격강좌(콘텐츠),:  ,"토 4-A,토 4-B,토 5-A,토 5-B,토 6-A,토 6-B"
디지털아카이빙특론,김건,일반,전주:인문대학1호관 310 ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B"
디지털영상음악제작실습,이영기,일반,전주:예체능관 307 ,"금 3-A,금 3-B,금 4-A,금 4-B"
디지털영상처리응용,곽영태,일반,전주:공과대학 7호관 403 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
디지털위성통신개론(Introduction of Digital Satellite Communications),김수영,일반,전주:공과대학 7호관 329 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
디지털이미지및영상실습 1,장성환,일반,전주:예술대학 2호관 1040 ,"금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B"
디지털컨퍼런스아트 1,이미성,일반,전주:예술대학 본관 2090 ,"목 5-A,목 5-B,목 6-A,목 6-B,목 7-A,목 7-B"
디지털콘텐츠제작,한동균,일반,전주:정보전산원 교육동 202 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
디지털콘텐츠제작,오진욱,일반,전주:정보전산원 교육동 202 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
디지털콘텐츠제작,한동균,일반,전주:정보전산원 교육동 202 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
디지털패션일러스트레이션,염혜정,일반,전주:생활과학대학 312 ,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B"
딕션 1,정국철,일반,전주:예술대학 본관 4080 ,"월 6-A,월 6-B,월 7-A,월 7-B"
딕션 3,설정훈,일반,전주:예술대학 본관 4080 ,"월 3-A,월 3-B,월 4-A,월 4-B"
딥러닝,트린민췐,일반,전주:공과대학 4호관 126 ,"수 2-A,수 2-B,수 3-A,수 3-B,수 4-A,수 4-B"
딥러닝,최규빈,일반,전주:학습도서관 203 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
딥러닝개론(Fundamentals of deep learning),이상준,일반,전주:공과대학 7호관 329 ,"수 6-A,수 6-B,수 7-A,수 7-B,수 8-A,수 8-B"
딥러닝과신약개발,홍승표,일반,전주:자연과학대학4호관 318 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
라틴아메리카연구총론,이승호,일반,전주:인문사회관 207 ,"화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B"
라틴아메리카정치론,이상현,일반,전주:인문사회관 421 ,"월 7-A,월 7-B,월 8-A,월 8-B,월 9-A,월 9-B"
레이저광학 1,김명훈,일반,전주:자연과학대학5호관 418 ,"월 1-A,월 1-B,월 2-A,월 2-B,월 3-A,월 3-B"
레저스포츠,류승민,일반,전주:자연과학대학본관 126 ,"화 3-A,화 3-B,화 4-A,화 4-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
로봇공학,임규만,일반,전주:공과대학 5호관 414 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
로컬아트클러스터,김율리아,일반,전주:예술대학 2호관 1080 ,"월 7-A,월 7-B,월 8-A,월 8-B,월 9-A,월 9-B"
로컬이노베이터창업실무,김영선,원격강좌(콘텐츠),:  ,"화 11-A,화 11-B,화 12-A,화 12-B,목 11-A,목 11-B"
리눅스프로그래밍,이세호,일반,전주:공과대학 7호관 204 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
리눅스프로그래밍,이세호,일반,전주:공과대학 7호관 204 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
리눅스프로그래밍,정종욱,일반,전주:공과대학 7호관 204 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
리눅스프로그래밍,김아미,일반,전주:공과대학 7호관 204 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
리더십,고수일,원격강좌(콘텐츠),전주:상과대학 2호관 310 ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B"
리더십,고수일,일반,전주:상과대학 2호관 310 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
리더십,안성은,일반,전주:상과대학 1호관 206 ,"화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A"
리더십,안성은,일반,전주:상과대학 1호관 206 ,"화 3-A,화 3-B,화 4-A,목 1-B,목 2-A,목 2-B"
리더십특강,고수일,일반,전주:상과대학 3호관 201 ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
마이크로바이옴,김전경,일반,전주:글로벌인재관 123 ,"월 2-A,월 2-B,월 3-A,월 3-B"
마이크로바이옴신약개발특론 1,김전경,일반,전주:인문사회관 828 ,"월 10-A,월 10-B,월 11-A,월 11-B,월 12-A,월 12-B"
마이크로전기기계시스템(MEMS),오종현,일반,전주:공과대학 6호관 B17 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
마이크로프로세서,안영신,일반,전주:공과대학 5호관 414 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
마이크로프로세서,김세민,일반,전주:공과대학 5호관 414 ,"토 5-A,토 5-B,토 6-A,토 6-B,토 7-A,토 7-B"
마이크로프로세서및실험,최우영,일반,전주:공과대학 7호관 202 ,"월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
마취약리,이준호,일반,전주:전북대 병원 암센터 5 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
마취통증의학실습,이준호,일반,전주:의과대학 4호관(의생명융합관) 201 ,"월 1-A,월 1-B,월 2-A,월 2-B,월 3-A,월 3-B,월 4-A,월 4-B,월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B,화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B,화 5-A,화 5-B"
마취환자감시법,두아람,일반,전주:전북대 병원 암센터 10 ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
마케팅관리론,박상준,일반,전주:상과대학 2호관 312 ,"화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A"
마케팅관리론,박상준,일반,전주:상과대학 2호관 312 ,"화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
마케팅관리론,유소이,일반,전주:상과대학 2호관 310 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
마케팅관리론,최낙환,일반,전주:상과대학 2호관 110 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
마케팅관리론,김민지,일반,전주:상과대학 3호관 201 ,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B"
마케팅관리론,김민지,일반,전주:상과대학 3호관 201 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
마케팅관리론,임아영,일반,전주:상과대학 2호관 310 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
마케팅엔지니어링,이영란,일반,전주:상과대학 2호관 210 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
마케팅엔지니어링,이영란,일반,전주:상과대학 2호관 210 ,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B"
마케팅원론,전성군,일반,전주:농업생명과학대학1호관 309 ,"수 8-A,수 8-B,수 9-A,수 9-B,수 10-A,수 10-B"
마케팅전략특강,박상준,일반,전주:상과대학 3호관 110 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
마케팅조사론,배병렬,일반,전주:상과대학 2호관 312 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
마케팅조사론,배병렬,일반,전주:상과대학 2호관 312 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
마케팅조사분석론,전성군,일반,전주:농업생명과학대학1호관 309 ,"수 5-A,수 5-B,수 6-A,수 6-B,수 7-A,수 7-B"
마케팅특강,박상준,일반,전주:상과대학 2호관 405 ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
말질병학,박준영,일반,익산:동물병원 201 ,"월 5-A,월 5-B,월 6-A,월 6-B"
매개성전염병학,탁동섭,일반,익산:제1 수의학관 B109 ,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B"
매개체전파감염병연구동향,엄재구,일반,익산:제1 수의학관 B109 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
매스컴과대중문화,박민,일반,전주:사회과학대학 511 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
매스컴과대중문화,윤승욱,일반,전주:사회과학대학 511 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
매스컴과대중문화,나미수,원격강좌(콘텐츠),:  ,"수 10-A,수 10-B,수 11-A,수 11-B,수 12-A,수 12-B"
매스컴과대중문화,나미수,원격강좌(콘텐츠),:  ,"화 13-A,화 13-B,화 14-A,화 14-B,화 15-A,화 15-B"
매스컴연구방법론,최용준,일반,전주:인문사회관 721 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
매체비평론,나미수,일반,전주:사회과학대학 509 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
매체시대의문학과예술,김영룡,일반,전주:인문대학2호관 311 ,"수 10-A,수 10-B,수 11-A,수 11-B,수 12-A,수 12-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
매체연구 5,이광철,일반,전주:예술대학 본관 1130 ,"수 7-A,수 7-B,수 8-A,수 8-B,금 1-A,금 1-B"
머신러닝개론,황윤형,일반,전주:공과대학 3호관 411 ,"화 8-A,화 8-B,화 9-A,화 9-B,목 7-A,목 7-B"
멀티미디어와조경 2,서남규,일반,익산:제1 환생대관 6201 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B,목 4-A,목 4-B"
멀티자료조직론,박진희,일반,전주:인문대학1호관 311 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
메카트로닉스,김석진,일반,새만금:산학융합지구캠퍼스동 102 ,"화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B"
메카트로닉스개론,최성호,일반,전주:로스알라모스 연구소 305 ,"월 4-A,월 4-B,월 5-A,월 5-B,월 6-A,월 6-B"
메카트로닉스및실습,문재성,일반,전주:공과대학 4호관 405 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A,목 4-B"
메카트로닉스및실습,문재성,일반,전주:공과대학 4호관 405 ,"화 8-A,화 8-B,화 9-A,화 9-B,목 6-A,목 6-B,목 7-A,목 7-B"
면역학토의,김원일,일반,익산:제1 수의학관 201 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
모바일앱프로그래밍,안영신,일반,전주:공과대학 5호관 507 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
모빌리티용반도체공정실무,허근,일반,전주:반도체물성 연구소 105 ,"목 9-A,목 9-B,목 10-A,목 10-B,목 11-A,목 11-B,목 12-A,목 12-B"
모의재판,최동배,일반,전주:신축 법학전문대학원 101 ,"금 5-A,금 5-B"
모의재판,강원도,일반,전주:신축 법학전문대학원 102 ,"금 6-A,금 6-B"
모의재판,강원도,일반,전주:신축 법학전문대학원 102 ,"금 8-A,금 8-B"
모체-태아-주산기의학,김현호,일반,전주:의과대학 4호관(의생명융합관) 101 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B,목 4-A,목 4-B,금 1-A,금 1-B,금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B"
목공레크레이션론및실습,장세환,일반,전주:농업생명과학대학4호관 324 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A,목 9-B"
목공예기법 2,신영식,일반,전주:미술관 2010 ,"화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B"
목공예기법 3,신영식,일반,전주:미술관 2050 ,"수 2-A,수 2-B,수 3-A,수 3-B,수 4-A,수 4-B"
목심저피실기,정상엽,일반,남원:지역산업학과 본관(가칭) 202 ,"금 11-A,금 11-B,금 12-A,금 12-B,금 13-A,금 13-B,금 14-A,금 14-B"
목재과학개론,오승원,일반,남원:지역산업학과 본관(가칭) 103 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
목재과학개론,이양수,일반,고창:공학관 312 ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
목재물리학및실험,오승원,일반,전주:농업생명과학대학4호관 324 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 3-A,수 3-B,수 4-A,수 4-B"
목재보존학및실험,이양수,일반,전주:농업생명과학대학4호관 401 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A,목 4-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
목재와인간생활,황정우,일반,전주:농업생명과학대학2호관강당 100-2 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
목재와인테리어,강춘원,일반,전주:생활과학대학 412 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
목재와환경,오승원,일반,:  ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
목재와환경,오승원,일반,남원:지역산업학과 본관(가칭) 103 ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
목재접착론및실험,박희준,일반,전주:농업생명과학대학4호관 324 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 6-A,수 6-B,수 7-A,수 7-B"
목재조직학및실험,오승원,일반,전주:농업생명과학대학4호관 324 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 1-A,수 1-B,수 2-A,수 2-B"
목재표면처리공학,황정우,일반,남원:지역산업학과 본관(가칭) 203 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
목재표면처리공학및실험,조석운,일반,전주:농업생명과학대학4호관 401 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A,목 9-B"
목재화학,정명준,일반,전주:농업생명과학대학4호관 324 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
목칠디자인,백미숙,일반,남원:지역산업학과 본관(가칭) 203 ,"금 11-A,금 11-B,금 12-A,금 12-B,금 13-A,금 13-B"
몸과의학의한국사,신동원,일반,전주:자연과학대학4호관 322 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
무기화학,김필,일반,전주:공과대학 6호관 B12 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
무기화학 1,이동헌,일반,전주:자연과학대학1호관 315 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
무기화학 1,이영아,일반,전주:자연과학대학1호관 315 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
무기화학및실험,노태환,일반,전주:과학관 402 전주:과학관 111 ,"수 2-A,수 2-B,수 3-A,수 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
무역결제론,이윤,일반,전주:상과대학 3호관 204 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
무역결제론,김시라,일반,전주:상과대학 3호관 203 ,"화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A"
무역결제론,김시라,일반,전주:상과대학 3호관 203 ,"화 3-A,화 3-B,화 4-A,목 1-B,목 2-A,목 2-B"
무역상무론,하현수,일반,전주:상과대학 3호관 204 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
무역상무론,하현수,일반,전주:상과대학 3호관 204 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
무역상무론,하현수,일반,전주:상과대학 3호관 204 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
무역상무론,박은옥,일반,전주:상과대학 2호관 313 ,"화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A"
무역상무론,최경숙,일반,전주:상과대학 2호관 313 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
무역서류작성실무,김민호,일반,전주:상과대학 1호관 301 ,"화 8-A,화 8-B,목 7-A,목 7-B,목 8-A,목 8-B"
무역실무교육,도광호,일반,전주:상과대학 1호관 301 ,"목 4-A,목 4-B,목 5-A,목 5-B,목 6-A,목 6-B"
무역영어회화,소미형,일반,전주:상과대학 3호관 204 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
무역영어회화,소미형,일반,전주:상과대학 3호관 204 ,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B"
무역영어회화,오영주,일반,전주:상과대학 1호관 302 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
무역의이해,김민호,일반,남원:지역산업학과 본관(가칭) 205 ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
무역통계분석입문,김용철,일반,전주:상과대학 2호관 210 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
무역통계분석입문,김용철,일반,전주:상과대학 2호관 210 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
*무역학의이해,이윤,일반,전주:상과대학 1호관 201 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
무용감상및비평,이서현,일반,전주:예술대학 2호관 1080 ,"금 7-A,금 7-B,금 8-A,금 8-B,금 9-A,금 9-B"
무용교육론,이해니,일반,전주:예술대학 2호관 1080 ,"목 4-A,목 4-B,목 5-A,목 5-B,목 6-A,목 6-B"
무용교육프로그램개발,김율리아,일반,전주:예술대학 2호관 1080 ,"월 4-A,월 4-B,월 5-A,월 5-B,월 6-A,월 6-B"
무용레퍼토리 1(안무리서치),정수동,일반,전주:예술대학 2호관 4030 ,"화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B"
무용레퍼토리 1(인지발달과 예술교육),이한선,일반,전주:예술대학 2호관 2010 ,"수 7-A,수 7-B,수 8-A,수 8-B,수 9-A,수 9-B"
무용레퍼토리 1(한국무용),배상복,일반,전주:예술대학 2호관 4030 ,"금 1-A,금 1-B,금 2-A,금 2-B,금 3-A,금 3-B"
무용레퍼토리 3(스마트무브Ⅱ),이해니,일반,전주:예술대학 2호관 3010 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
무용레퍼토리 3(즉흥),정록이,일반,전주:예술대학 2호관 2010 ,"목 5-A,목 5-B,목 6-A,목 6-B,목 7-A,목 7-B"
무용레퍼토리 3(한국무용),정진용,일반,전주:예술대학 2호관 3010 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
무용미학,오정은,일반,전주:예술대학 2호관 1080 ,"화 4-A,화 4-B,화 5-A,화 5-B,화 6-A,화 6-B"
무용상해및예방,이한선,일반,전주:예술대학 2호관 1080 ,"수 4-A,수 4-B,수 5-A,수 5-B,수 6-A,수 6-B"
무용세미나,오정은,일반,전주:예술대학 2호관 1080 ,"화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B"
무용음악의이해와제작,유태선,일반,전주:예술대학 본관 5100 ,"수 7-A,수 7-B,수 8-A,수 8-B,수 9-A,수 9-B"
무인기모델링및제어,유기호,일반,전주:공과대학 9호관 612 ,"수 7-A,수 7-B,수 8-A,수 8-B,수 9-A,수 9-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
문제바탕학습 1,김소리,일반,전주:의과대학 본관 114 ,"화 9-A,화 9-B,화 10-A,화 10-B"
문제바탕학습 3,김소리,일반,전주:의과대학 4호관(의생명융합관) 101 ,"수 9-A,수 9-B,수 10-A,수 10-B"
문제해결사회학,강민형,일반,전주:인문사회관 204 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
문학감상론 1,이인화,일반,전주:사범대 본관 503 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
문학교실현장비평연습,민재원,일반,전주:사범대 본관 503 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
문학교육론,이인화,일반,전주:사범대 본관 503 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
문학연구방법론,이숙,일반,전주:인문대학1호관 302 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
문학이론특강,민재원,일반,전주:사범대 본관 415 ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
문화로보는경제,이경묵,일반,전주:인문대학2호관 109 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
문화사의이해,김영준,일반,전주:전대 학술문화관 103 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
문화사의이해,김영준,일반,전주:인문대학1호관 405 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
문화사회학,조은주,일반,전주:사회과학대학 319 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
문화산업과대중문화,황성희,일반,전주:인문대학2호관 104 ,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B"
문화연구방법과실습,이경묵,일반,전주:인문대학2호관 109 ,"화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
문화예술교육현장의이해와실습 1,박경숙,일반,전주:예술대학 본관 4080 ,"월 8-A,월 8-B,월 9-A,월 9-B"
문화와조경학특론 1,명현,일반,익산:제1 환생대관 6214 ,"토 10-A,토 10-B,토 11-A,토 11-B,토 12-A,토 12-B"
문화와환경,전의령,일반,전주:인문대학2호관 104 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
문화유산과박물관,이종철,일반,전주:인문대학2호관 109 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
문화유산의탐사와실습,정다운,일반,전주:인문대학2호관 109 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
문화의이해(Introduction to Cultural Anthropology),오영훈,일반,전주:글로벌인재관 219 ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
문화의이해,이선희,일반,전주:사범대 본관 508 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
문화의이해,오세미나,일반,전주:인문대학2호관 506 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
문화의이해,이선희,일반,전주:인문대학1호관 405 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
문화의이해,양지영,일반,전주:과학관 415 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
문화의이해,강현정,일반,전주:전대 학술문화관 104 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
문화의이해,강현정,일반,익산:교양관 2305 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
문화의이해,김진수,일반,고창:공학관 321 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
문화컨텐츠서비스론,이정은,일반,전주:인문대학1호관 308 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
물권법판례연구,추신영,일반,전주:신축 법학전문대학원 805-1 ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
물리과학의역사,김종일,일반,전주:자연과학대학4호관 322 ,"화 3-A,화 3-B,화 4-A,목 1-B,목 2-A,목 2-B"
